,train_scores
0,-1021.3333333333334
1,-1791.9
2,-1871.6315789473683
3,-1772.2608695652175
4,-1814.2068965517242
5,-1069.15625
6,-1091.4285714285713
7,-1031.5652173913043
8,-350.0
9,-172.23529411764707
10,-1067.0833333333333
11,-1477.5555555555557
12,-399.85
13,-2676.0
14,-79.36363636363636
15,-632.5
16,-279.2631578947368
17,-242.58333333333334
18,-2010.5384615384614
19,-1200.25
20,-1786.5555555555557
21,-2465.785714285714
22,-2244.0714285714284
23,-1487.8333333333333
24,-1696.65
25,-384.25
26,-518.1818181818181
27,-1528.0
28,-201.91666666666666
29,-2351.6875
30,-1420.5454545454545
31,-1774.3809523809523
32,-1799.357142857143
33,-1079.111111111111
34,-1810.3076923076924
35,-1250.1666666666667
36,-2425.6666666666665
37,-1450.391304347826
38,-96.92307692307692
39,-1701.6666666666667
40,-1066.625
41,-1057.7692307692307
42,-447.875
43,-392.8421052631579
44,-1448.1052631578948
45,-2247.4583333333335
46,-3155.4210526315787
47,-1756.0526315789473
48,-829.7333333333333
49,-1984.1666666666667
50,-1653.8846153846155
51,-173.0
52,-1285.6923076923076
53,-628.695652173913
54,-764.5
55,-1076.1538461538462
56,-3364.0625
57,-11.8
58,-2041.3157894736842
59,-1305.909090909091
60,-1717.888888888889
61,-1428.1333333333334
62,-2857.125
63,-1098.6666666666667
64,-1033.4285714285713
65,-2072.235294117647
66,-1198.7
67,-1416.8181818181818
68,-1204.2307692307693
69,-121.66666666666667
70,-1333.5
71,-265.0952380952381
72,-1368.2631578947369
73,-731.6666666666666
74,-1523.1666666666667
75,-1774.7333333333333
76,-1243.4
77,-1363.6923076923076
78,-1464.1333333333334
79,-2497.6521739130435
80,-2753.7368421052633
81,-1075.1
82,-918.3333333333334
83,-835.6363636363636
84,-248.42857142857142
85,-203.0
86,-2050.3636363636365
87,-867.0
88,-194.75
89,-1234.3846153846155
90,-2504.0
91,-1739.642857142857
92,-1174.6923076923076
93,-983.0909090909091
94,-1037.0
95,-456.4166666666667
96,-909.5
97,-2035.4166666666667
98,62.666666666666664
99,-1390.909090909091
100,4.666666666666667
101,-757.7777777777778
102,-1343.1818181818182
103,-1632.1666666666667
104,-1275.0
105,-2957.68
106,-1339.1818181818182
107,-693.6
108,-993.7391304347826
109,-299.85714285714283
110,-1560.5
111,-1202.0625
112,-127.33333333333333
113,-1293.8
114,-329.57142857142856
115,-121.25
116,-124.5
117,-141.1818181818182
118,-193.0
119,-2489.5625
120,-270.9230769230769
121,-598.7
122,-24.571428571428573
123,-506.6666666666667
124,-703.0
125,-2905.3809523809523
126,-76.6
127,-501.57142857142856
128,-2420.3333333333335
129,-1696.2
130,-2419.3076923076924
131,-1123.3076923076924
132,-1770.2857142857142
133,-950.2
134,-4069.5789473684213
135,-1153.4166666666667
136,-576.9166666666666
137,-1559.8125
138,-421.25
139,-1099.8181818181818
140,-1491.6666666666667
141,-539.75
142,-1816.5454545454545
143,-334.42857142857144
144,-515.0
145,-434.4
146,-1292.9166666666667
147,-3130.133333333333
148,-1038.7142857142858
149,-1349.6666666666667
150,-640.5
151,-1008.3636363636364
152,-642.0833333333334
153,-1085.090909090909
154,-886.9285714285714
155,-1467.375
156,-93.0
157,-918.4
158,-715.8333333333334
159,-837.75
160,-516.8181818181819
161,-1783.7692307692307
162,-1223.6875
163,-607.0
164,-774.2777777777778
165,-2730.133333333333
166,-812.5384615384615
167,-972.5454545454545
168,-1742.55
169,-1551.7142857142858
170,-1510.9
171,-1245.5714285714287
172,-1860.0
173,-1676.5833333333333
174,-425.57142857142856
175,-1789.4444444444443
176,-642.3333333333334
177,-1134.7692307692307
178,-1315.8125
179,-350.375
180,-1414.5333333333333
181,-1001.1428571428571
182,-533.1
183,-2332.733333333333
184,-343.2
185,-1272.5
186,-1977.2
187,-2655.0
188,-2061.923076923077
189,-1388.3076923076924
190,-3646.277777777778
191,-378.7
192,-1357.8461538461538
193,-1643.0714285714287
194,-1519.0
195,-1638.4444444444443
196,-1822.5
197,-1404.0
198,-2331.3
199,-1151.4666666666667
200,-1312.1
201,-1552.8333333333333
202,-1132.4615384615386
203,-1394.7142857142858
204,-1835.0
205,-1060.0
206,-1340.4285714285713
207,-640.6
208,-1157.4666666666667
209,-441.25
210,-843.8181818181819
211,-1464.090909090909
212,-1335.857142857143
213,-1787.9333333333334
214,-873.9230769230769
215,-1852.4
216,-961.8666666666667
217,-1225.0666666666666
218,-475.53333333333336
219,-706.3636363636364
220,-1624.090909090909
221,-965.0
222,-1803.909090909091
223,-2799.086956521739
224,-726.6153846153846
225,-938.3333333333334
226,-1770.2592592592594
227,-1205.6875
228,-507.88235294117646
229,-1131.6153846153845
230,-811.0
231,-877.75
232,-1996.16
233,-1605.8
234,-393.57142857142856
235,-809.3333333333334
236,-1190.4
237,-1744.1333333333334
238,-1071.923076923077
239,-1769.5294117647059
240,-368.5
241,-146.375
242,-560.5384615384615
243,-2235.4615384615386
244,-172.85714285714286
245,-421.8333333333333
246,-633.0
247,-1891.1764705882354
248,-1576.0714285714287
249,-1107.7333333333333
250,-1415.7272727272727
